tourney_id,surface,winner_id,loser_id
2020-560,Hard,105916,106198
2020-560,Hard,105138,200175
2020-520,Clay,136440,126156
2020-520,Clay,132283,105877
2020-520,Clay,206173,126127
2020-0319,Clay,144817,103852
2020-M009,Clay,126094,105487
2020-580,Hard,103819,105815
2020-8888,Hard,105227,110602
2020-0891,Hard,106078,110748
2020-0506,Clay,106043,105643
2020-0499,Hard,126952,105173
2020-6932,Clay,132283,104919
2020-520,Clay,126774,144719
2020-M-DC-2020-QLS-M-SWE-CHI-01,Hard,144707,126214
2020-8888,Hard,105554,105676
2020-580,Hard,104925,106233
2020-0891,Hard,125802,105539
2020-560,Hard,105683,104919
2020-560,Hard,105577,105683
2020-520,Clay,124079,105062
2020-7434,Hard,105577,105526
2020-0352,Hard,106415,104665
2020-M-DC-2020-WG1-PO-TUR-ISR-01,Clay,123795,127326
2020-M-DC-2020-WG2-PO-POL-HKG-01,Hard,200390,205695
2020-7434,Hard,206173,105577
2020-0568,Hard,200175,105062
2020-580,Hard,105023,106432
2020-0375,Hard,105577,105676
2020-0495,Hard,111575,110602
2020-560,Hard,105676,124187
2020-560,Hard,200000,106329
2020-M009,Clay,105683,105173
2020-560,Hard,106421,200670
2020-520,Clay,106228,105643
2020-520,Clay,200624,104545
2020-0319,Clay,105870,111513
2020-8888,Hard,128034,106043
2020-8888,Hard,106421,104926
2020-580,Hard,105815,105477
2020-580,Hard,105147,105432
2020-6932,Clay,106426,105413
2020-8996,Clay,205734,105952
2020-560,Hard,105577,104259
2020-520,Clay,126127,200325
2020-0568,Hard,111815,126203
2020-580,Hard,105575,106148
2020-8888,Hard,105550,105227
2020-0424,Hard,106378,126952
2020-0499,Hard,105449,105967
2020-0496,Hard,126774,105577
2020-0495,Hard,122330,128034
2020-M009,Clay,105583,200221
2020-560,Hard,105227,106045
2020-520,Clay,105332,126952
2020-560,Hard,104755,103333
2020-520,Clay,105882,105453
2020-560,Hard,111575,105723
2020-8888,Hard,104925,104745
2020-9158,Clay,144719,104919
2020-6932,Clay,105643,106148
2020-M024,Hard,105138,104755
2020-580,Hard,106421,126207
2020-9158,Clay,106398,106198
2020-0506,Clay,105487,105413
2020-M024,Hard,105526,133430
2020-0414,Clay,126094,126774
2020-520,Clay,105948,105359
2020-M-DC-2020-WG1-PO-MEX-FIN-01,Clay,126204,105349
2020-520,Clay,106058,124187
2020-M056,Hard,105526,106099
2020-580,Hard,104926,124187
2020-0891,Hard,106210,111459
2020-0424,Hard,200175,126205
2020-6932,Clay,126149,134770
2020-0495,Hard,105936,105311
2020-560,Hard,105723,105023
2020-560,Hard,200000,104918
2020-520,Clay,104745,111456
2020-M-DC-2020-WG1-PO-MEX-FIN-01,Clay,202261,105688
2020-0568,Hard,105683,200670
2020-0414,Clay,126094,134770
2020-9408,Clay,132283,206748
2020-580,Hard,111575,144707
2020-8888,Hard,106415,105932
2020-8888,Hard,126774,100644
2020-580,Hard,106233,105173
2020-0891,Hard,105216,105341
2020-0424,Hard,104312,105449
2020-9158,Clay,106228,106398
2020-8888,Hard,128034,106432
2020-0451,Hard,104527,105379
2020-M024,Hard,111575,105807
2020-560,Hard,144895,105554
2020-520,Clay,104925,123755
2020-9404,Hard,128034,104999
2020-0414,Clay,126774,106426
2020-580,Hard,106233,104792
2020-0499,Hard,200005,200175
2020-0499,Hard,105449,106058
2020-560,Hard,106218,117360
2020-560,Hard,111575,206173
2020-520,Clay,126205,105902
2020-M-DC-2020-QLS-M-ARG-COL-01,Clay,123755,106228
2020-M-DC-2020-QLS-M-KAZ-NED-01,Hard,104898,105062
2020-M-DC-2020-WG1-PO-VEN-NZL-01,Hard,104907,207738
2020-520,Clay,105807,105357
2020-520,Clay,111575,106426
2020-520,Clay,111575,111794
2020-0568,Hard,122330,111456
2020-560,Hard,105227,105613
2020-580,Hard,104925,103819
2020-M056,Hard,105077,111442
2020-580,Hard,206173,126845
2020-0375,Hard,105732,104660
2020-0499,Hard,206909,106210
2020-0495,Hard,111575,105062
2020-520,Clay,105807,105550
2020-0568,Hard,126128,105877
2020-8888,Hard,105932,104655
2020-580,Hard,105643,105311
2020-0495,Hard,105526,105138
2020-560,Hard,111576,105614
2020-0414,Clay,134770,200005
2020-9404,Hard,105449,105936
