tourney_id,surface,winner_id,loser_id
2019-0311,Grass,104468,103917
2019-560,Hard,104745,106421
2019-M-DC-2019-G2-AM-M-PER-ESA-01,Hard,126190,208476
2019-M001,Hard,200282,104468
2019-0407,Hard,104607,104468
2019-M007,Hard,105077,106298
2019-7648,Clay,105379,106071
2019-520,Clay,200282,105614
2019-0439,Clay,111513,104919
2019-0319,Clay,132283,106148
2019-560,Hard,106043,106078
2019-9164,Hard,200282,105357
2019-M-DC-2019-FLS-M-AUS-CAN-01,Hard,105577,105357
2019-M-DC-2019-QLS-M-CAN-SVK-01,Clay,133430,106110
2019-M-DC-2019-QLS-M-ITA-IND-01,Grass,104312,105432
2019-7480,Hard,105430,106423
2019-0341,Hard,105807,109699
2019-M024,Hard,105173,106426
2019-540,Grass,126610,104571
2019-6242,Hard,105332,105432
2019-7581,Hard,105583,106228
2019-580,Hard,106298,105062
2019-580,Hard,104925,133430
2019-0496,Hard,105062,126094
2019-M004,Hard,106043,105657
2019-0533,Clay,111513,200000
2019-M006,Hard,105430,104926
2019-520,Clay,200611,111815
2019-M021,Clay,111513,105223
2019-7648,Clay,105732,104897
2019-520,Clay,111513,200615
2019-6242,Hard,105449,144895
2019-540,Grass,124187,105649
2019-M001,Hard,200282,111442
2019-0499,Hard,105430,105554
2019-0495,Hard,104792,105575
2019-M007,Hard,104545,132283
2019-0360,Clay,106228,104122
2019-7648,Clay,126610,105062
2019-M021,Clay,126207,104259
2019-M016,Grass,111797,104655
2019-540,Grass,103852,106218
2019-0315,Grass,125802,111153
2019-0337,Hard,126094,111202
2019-0314,Clay,105649,105311
2019-0337,Hard,106043,105732
2019-0311,Grass,105379,200282
2019-0717,Clay,105023,104198
2019-580,Hard,133430,104665
2019-0496,Hard,126774,105062
2019-0495,Hard,105916,106000
2019-M006,Hard,106378,111797
2019-520,Clay,105583,106329
2019-M021,Clay,103819,104755
2019-520,Clay,105453,111460
2019-520,Clay,105807,200282
2019-0311,Grass,105683,105379
2019-M024,Hard,106421,105526
2019-M015,Hard,106233,111575
2019-M-DC-2019-FLS-C-M-ARG-GER-01,Hard,105526,106043
2019-520,Clay,106043,105916
2019-0421,Hard,105173,106432
2019-5014,Hard,104925,133430
2019-M-DC-2019-FLS-M-CAN-ESP-01,Hard,104745,133430
2019-M015,Hard,100644,200000
2019-7581,Hard,105807,106426
2019-0421,Hard,106432,105376
2019-M007,Hard,128034,106233
2019-0425,Clay,106421,111797
2019-520,Clay,126203,106071
2019-540,Grass,105138,105376
2019-540,Grass,104926,126207
2019-0319,Clay,104269,106075
2019-M035,Hard,106421,105376
2019-0421,Hard,104926,105173
2019-560,Hard,104545,105526
2019-7480,Hard,105550,105777
2019-0329,Hard,104925,105357
2019-9164,Hard,126952,106298
2019-0429,Hard,105216,105882
2019-5014,Hard,104871,106378
2019-M014,Hard,104871,111797
2019-560,Hard,106426,111153
2019-M009,Clay,105932,105916
2019-0308,Clay,126610,104259
2019-0424,Hard,104797,111456
2019-0496,Hard,104269,106078
2019-M006,Hard,104527,105916
2019-520,Clay,104926,104312
2019-520,Clay,144895,106072
2019-520,Clay,105332,105732
2019-M016,Grass,105554,105430
2019-540,Grass,200175,106148
2019-M-DC-2019-FLS-D-M-BEL-AUS-01,Hard,106401,104327
2019-560,Hard,132283,104719
2019-M015,Hard,200000,105077
2019-M-DC-2019-FLS-D-M-AUS-COL-01,Hard,200282,123755
2019-M035,Hard,105683,105065
2019-560,Hard,105554,105173
2019-580,Hard,104745,105902
2019-0499,Hard,111456,126203
2019-0495,Hard,104792,104571
2019-0533,Clay,105550,106426
2019-M007,Hard,200000,105916
2019-0308,Clay,100644,106228
2019-0717,Clay,105053,105614
2019-0311,Grass,103917,104527
2019-M016,Grass,104269,105357
2019-0315,Grass,111153,105449
2019-M024,Hard,105676,105550
2019-M024,Hard,105430,105227
2019-0375,Hard,105430,104571
2019-0424,Hard,105023,105359
2019-M006,Hard,103819,105376
2019-0717,Clay,104386,111815
2019-M021,Clay,104792,105916
2019-520,Clay,106228,104755
2019-0500,Grass,105430,105051
2019-540,Grass,106210,100644
2019-540,Grass,105023,105815
2019-M035,Hard,105376,126094
2019-M-DC-2019-G2-EPA-M-LTU-MAR-01,Clay,105827,144760
2019-0315,Grass,122330,106109
2019-560,Hard,104925,106228
2019-M-DC-2019-G2-EPA-M-ROU-ZIM-01,Hard,106021,105626
2019-0328,Hard,104527,104655
2019-M-DC-2019-G2-AM-M-GUA-BOL-01,Hard,106198,108739
2019-M-DC-2019-G2-EPA-M-NOR-GEO-01,Clay,134770,106223
2019-0314,Clay,105077,104269
2019-0352,Hard,104745,105173
2019-560,Hard,105227,105649
2019-0439,Clay,105882,104926
2019-520,Clay,126156,106000
2019-0891,Hard,104731,104468
2019-0424,Hard,124187,104198
2019-0495,Hard,105575,106045
2019-M007,Hard,105932,104999
2019-0360,Clay,104665,104468
2019-0308,Clay,126610,105138
2019-M021,Clay,104527,105550
2019-0500,Grass,105526,111513
2019-0311,Grass,104468,104731
2019-0605,Hard,126774,106233
2019-9164,Hard,111815,105376
2019-0316,Clay,106000,134770
2019-540,Grass,104545,134770
2019-M035,Hard,106421,106216
2019-M-DC-2019-G1-EPA-M-POR-BLR-01,Hard,105311,125802
2019-7485,Hard,104918,200005
